GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bank,com.telran.bank.exception.messages,ErrorMessage,66,0,0,0,10,0,3,0,3,0
bank,com.telran.bank.service.impl,TransactionServiceImpl,137,125,29,13,24,20,23,8,2,8
bank,com.telran.bank.service.impl,AccountServiceImpl,165,182,36,24,34,35,30,10,3,7
bank,com.telran.bank.generator,IbanIdGenerator,6,0,0,0,2,0,2,0,2,0
bank,com.telran.bank.mapper,TransactionMapperImpl,4,92,6,8,2,26,6,4,0,3
bank,com.telran.bank.mapper,TransactionMapper,4,0,0,0,1,0,1,0,1,0
bank,com.telran.bank.mapper,AccountMapperImpl,21,158,6,10,6,44,6,7,0,5
bank,com.telran.bank.controller,TransactionController,7,21,0,0,2,3,1,3,1,3
bank,com.telran.bank.controller,AccountController,0,29,0,0,0,5,0,5,0,5
bank,com.telran.bank.controller,ExceptionHandlerController,62,3,0,0,20,1,7,1,7,1
bank,com.telran.bank.entity.enums,TransactionType,21,0,0,0,4,0,1,0,1,0
bank,com.telran.bank.service.util,RequestChecker,10,117,6,18,2,21,7,10,1,4
